## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 262144B |     26.66 Kmsg/s |   6988.0 MB/s |  32105.40 us | 38793.00 us | 76580.25 us |    8.0 |     41.7 |    9.7 |     21.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     17.28 Kmsg/s |      1.1 MB/s | 3310998.43 us | 3857579.80 us | 3868669.48 us |   10.6 |    757.5 |    8.8 |     22.2 |
| 256B |      0.00 Kmsg/s |      0.0 MB/s | 5157124.00 us | 5157124.00 us | 5157124.00 us |   10.2 |    299.2 |    7.9 |     22.2 |
| 1024B |    436.16 Kmsg/s |    446.6 MB/s | 1600119.07 us | 1912923.00 us | 1973783.15 us |   14.9 |    644.0 |   10.7 |     22.2 |
| 65536B |     37.96 Kmsg/s |   2487.7 MB/s |  60663.24 us | 72316.00 us | 78296.13 us |   10.6 |     71.8 |   11.8 |     20.9 |
| 131072B |     16.54 Kmsg/s |   2168.2 MB/s |  79915.60 us | 93841.75 us | 106669.75 us |   10.7 |     17.8 |   10.4 |     20.9 |
| 262144B |      7.01 Kmsg/s |   1837.0 MB/s |  86579.35 us | 104861.90 us | 112609.94 us |   10.7 |     51.6 |   10.1 |     21.1 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      2.54 Kmsg/s |      0.2 MB/s | 1402743.95 us | 1582779.35 us | 4986915.81 us |    9.5 |    438.1 |    8.5 |     22.2 |
| 256B |    116.39 Kmsg/s |     29.8 MB/s | 1694181.03 us | 1828483.30 us | 1867401.19 us |   11.3 |    283.2 |    7.3 |     22.2 |
| 1024B |    541.09 Kmsg/s |    554.1 MB/s | 1420293.98 us | 1542190.30 us | 1565350.17 us |   10.4 |    115.3 |    7.1 |     22.2 |
